Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Airport_Name,Injury_Severity,Aircraft_Damage,Registration_Number,Make,Model,Number_Of_Engines,Engine_Type,Purpose_Of_Flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_Of_Flight,Publication_Date,Total_Passengers,Fatal_Injury_Number,Uninjured_Number
20001218X45446,Accident,CHI81LA106,1981-08-01,"COTTON, MN",United States,,Fatal(4),Destroyed,N4988E,Cessna,180,1.0,Reciprocating,Personal,4.0,0.0,0.0,0.0,IMC,Unknown,06-11-2001,4.0,1.0,0.0
20020909X01562,Accident,SEA82DA022,1982-01-01,"PULLMAN, WA",United States,BLACKBURN AG STRIP,Non-Fatal,Substantial,N2482N,Cessna,140,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Takeoff,01-01-1982,2.0,0.0,1.0
20020909X01561,Accident,NYC82DA015,1982-01-01,"EAST HANOVER, NJ",United States,HANOVER,Non-Fatal,Substantial,N7967Q,Cessna,401B,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,IMC,Landing,01-01-1982,2.0,0.0,1.0
20020917X02134,Accident,FTW82FRA14,1982-01-02,"HEARNE, TX",United States,HEARNE MUNICIPAL,Fatal(1),Destroyed,N758SK,Cessna,R172K,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Takeoff,02-01-1983,1.0,1.0,0.0
20020917X01656,Accident,ANC82FAG14,1982-01-02,"SKWENTA, AK",United States,,Fatal(3),Destroyed,N7641A,Cessna,180,1.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,VMC,Unknown,02-01-1983,3.0,1.0,0.0
20020917X02481,Accident,NYC82DA016,1982-01-02,"GALETON, PA",United States,CHERRY SPRINGS,Non-Fatal,Substantial,N25084,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Taxi,02-01-1983,1.0,0.0,1.0
20020917X01894,Accident,CHI82FEC08,1982-01-02,"YPSILANTI, MI",United States,WILLOW RUN,Non-Fatal,Substantial,N68812,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,02-01-1983,1.0,0.0,1.0
20020917X01776,Accident,CHI82DA020,1982-01-02,"CHARLOTTE, MI",United States,TINKERBELL,Non-Fatal,Substantial,N1549Q,Cessna,150L,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,02-01-1983,2.0,0.0,1.0
20020917X01905,Accident,DCA82AA008,1982-01-03,"ASHLAND, VA",United States,HANOVER COUNTY,Fatal(8),Destroyed,N2620L,Cessna,414A,2.0,Reciprocating,Business,8.0,0.0,0.0,0.0,IMC,Approach,03-01-1983,8.0,1.0,0.0
20020917X02340,Accident,MIA82DA030,1982-01-03,"COCOA, FL",United States,,Non-Fatal,Substantial,N94252,Cessna,210L,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Descent,03-01-1983,2.0,0.0,0.5
20020917X01992,Accident,FTW82DA036,1982-01-03,"FORT WORTH, TX",United States,OAK GROVE,Non-Fatal,Substantial,N71054,Cessna,182,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Approach,03-01-1983,2.0,0.0,0.0
20020917X01880,Accident,CHI82FA019,1982-01-04,"FORT WAYNE, IN",United States,,Fatal(2),Destroyed,N2CU,Cessna,T337G,2.0,Reciprocating,Personal,2.0,2.0,0.0,0.0,IMC,Cruise,04-01-1983,4.0,0.5,0.0
20020917X02410,Accident,MIA82FKA05,1982-01-04,SAINT CROIX,,ALEXANDER HAMILTON,Fatal(1),Destroyed,N5151U,Cessna,206,1.0,Reciprocating,Business,1.0,0.0,1.0,0.0,VMC,Taxi,04-01-1983,2.0,0.5,0.0
20020917X02156,Accident,LAX82DA037,1982-01-05,"SPRINGERVILLE, AZ",United States,SPRINGERVILLE,Non-Fatal,Substantial,N738XP,Cessna,TR182,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Taxi,05-01-1983,1.0,0.0,1.0
20020917X01651,Accident,ANC82FA012,1982-01-05,"BETHEL, AK",United States,BETHEL,Non-Fatal,Substantial,N3343S,Cessna,A185F,1.0,Reciprocating,Unknown,0.0,2.0,0.0,0.0,VMC,Takeoff,05-01-1983,2.0,0.0,0.0
20020917X02423,Accident,MKC82DA016,1982-01-06,"ROLLA, MO",United States,DOWNTOWN,Non-Fatal,Substantial,N2672A,Cessna,340,2.0,Reciprocating,Executive/corporate,0.0,0.0,0.0,3.0,VMC,Approach,06-01-1983,3.0,0.0,1.0
20020917X01777,Accident,CHI82DA021,1982-01-06,"PAXTON, IL",United States,PAXTON MUNICIPAL,Non-Fatal,Substantial,N4900L,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,06-01-1983,2.0,0.0,1.0
20020917X02242,Accident,LAX82DVA10,1982-01-06,"NEAR BAKERSFIEL, CA",United States,,Non-Fatal,Substantial,N59737,Boeing,A75,1.0,Reciprocating,Unknown,0.0,1.0,0.0,1.0,IMC,Cruise,06-01-1983,2.0,0.0,0.5
20020917X01964,Accident,DEN82FA016,1982-01-07,"HELENA, MT",United States,,Fatal(2),Destroyed,N9763X,Cessna,210,1.0,Reciprocating,Unknown,2.0,0.0,0.0,0.0,VMC,Cruise,07-01-1983,2.0,1.0,0.0
20020917X02414,Accident,MIA82FLD14,1982-01-08,"ODESSA, FL",United States,W. PASCO,Fatal(1),Destroyed,N80264,Cessna,172M,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,IMC,Approach,08-01-1983,1.0,1.0,0.0
20020917X02574,Accident,SEA82DA016,1982-01-08,"PULLMAN, WA",United States,PULLMAN-MOSCOW REGIONAL,Non-Fatal,Substantial,N6106U,Cessna,TU206G,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,08-01-1983,1.0,0.0,1.0
20020917X02484,Accident,NYC82DA019,1982-01-08,"CUTCHOGUE, NY",United States,,Non-Fatal,Substantial,N46681,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Cruise,08-01-1983,1.0,0.0,1.0
20020917X01779,Accident,CHI82DA023,1982-01-08,"PEORIA, IL",United States,MOUNT HAWLEY,Non-Fatal,Substantial,N6265P,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,08-01-1983,1.0,0.0,1.0
